"journal-article-10.2307_463181-ngram1.txt","Front Matter"
"journal-article-10.2307_2079340-ngram1.txt","Volume Information"
"journal-article-10.2307_40481130-ngram1.txt","List of Active Members by Class"
"journal-article-10.2307_40322543-ngram1.txt","Directory of the Association of American Library Schools 1978"
"journal-article-10.2307_23761418-ngram1.txt","Thirty Years of Poetry: a magazine of verse: INDEX TO VOLUMES 1 - 60 October 1912 - September 1942 (inclusive)"
"journal-article-10.2307_3453854-ngram1.txt","Front Matter"
"journal-article-10.2307_43646796-ngram1.txt",""
"journal-article-10.2307_40220946-ngram1.txt","Distribution of Membership of the American Association of University Professors: January 1, 1953"
"journal-article-10.2307_40712174-ngram1.txt","DEREGULATORY INJUSTICE AND ELECTRONIC REDLINING: THE COLOR OF ACCESS TO TELECOMMUNICATIONS"
"journal-article-10.2307_282819-ngram1.txt","Proceedings of the Sixty-First Annual Meeting of the American Philological Association. Also of the Thirty-First Annual Meeting of the Philological Association of the Pacific Coast"
"journal-article-10.2307_230004-ngram1.txt","Volume Information"
"journal-article-10.2307_769748-ngram1.txt","Robert Robinson. 13 September 1886 -- 8 February 1975"
"journal-article-10.2307_885417-ngram1.txt","Volume Information"
"journal-article-10.1525_jps.2007.36.2.220-ngram1.txt","Bibliography ofPeriodicalLiterature"
"journal-article-10.2307_20460769-ngram1.txt","The Influence of Humor Strength and Humor: Message Relatedness on Ad Memorability: A Dual Process Model"
"journal-article-10.2307_25629714-ngram1.txt","Career Leads"
"journal-article-10.2307_41689936-ngram1.txt","International Film Criticism Today: A Critical Symposium"
"journal-article-10.2307_20460846-ngram1.txt","Antecedents of True Brand Loyalty"
"journal-article-10.2307_20089648-ngram1.txt","Volume Information"
"journal-article-10.2307_2162690-ngram1.txt","Dimensions of Regional Change in Washington, D.C."
"journal-article-10.2307_1123987-ngram1.txt","Women, Public Ministry, and American Fundamentalism, 1920-1950"
"journal-article-10.2307_30036830-ngram1.txt","Using Film to Conduct Historical Inquiry with Middle School Students"
"journal-article-10.2307_23469619-ngram1.txt","Going to a Better School: Effects and Behavioral Responses"
"journal-article-10.1086_235026-ngram1.txt","Book Reviews"
"journal-article-10.2307_891893-ngram1.txt","Publications Received"
"journal-article-10.2307_1478385-ngram1.txt","Ida Rubinstein: A Twentieth-Century Cleopatra"
"journal-article-10.2307_179237-ngram1.txt","\"Let Us Become Radio Mechanics\": Technology and National Identity in Late-Colonial Netherlands East Indies"
"journal-article-10.2307_20644691-ngram1.txt","Harmonization and the Goals of Copyright: Property Rights or Cultural Progress?"
"journal-article-10.2307_1594561-ngram1.txt","Charles Codman: Early Nineteenth-Century Artisan and Artist"
"journal-article-10.2307_25612953-ngram1.txt","Caribeña: Bibliografia Actual/Current Bibliography"
"journal-article-10.2307_836954-ngram1.txt"," Tel père, tel fils? Les opinions esthétiques de la famille Galilei"
"journal-article-10.2307_898286-ngram1.txt","Music Received"
"journal-article-10.2307_43497503-ngram1.txt","Viewing Videos: Class Differences, Black Women, and Interpretations of Black Femininity"
"journal-article-10.2307_1343798-ngram1.txt","Law for Art's Sake in the Public Realm"
"journal-article-10.2307_30172589-ngram1.txt","Japan-Taiwan Relations: Between Affinity and Reality"
"journal-article-10.2307_25690740-ngram1.txt","Tentative Program of the Sixty-Third Annual Conference, Boston, June 19 to 25, 1941"
"journal-article-10.2307_3202471-ngram1.txt","Perspectives on Alternative Assessment Reform"
"journal-article-10.2307_941570-ngram1.txt","Published Hawaiian Songbooks"
"journal-article-10.2307_3718322-ngram1.txt","Subjects"
"journal-article-10.2307_3842354-ngram1.txt","Back Matter"
"journal-article-10.2307_1344175-ngram1.txt","Jody"
"journal-article-10.2307_40725917-ngram1.txt","STATE AND SOCIETY IN THE HSÜN TZU: A PHILOSOPHICAL COMMENTARY"
"journal-article-10.2307_42975745-ngram1.txt","CHAPTER FIVE: Layla"
"journal-article-10.2307_25697111-ngram1.txt","CLASSIFIED ADVERTISEMENTS"
"journal-article-10.2307_43772524-ngram1.txt","Selective Memory: A Note on Social Work Historiography"
"journal-article-10.2307_27747282-ngram1.txt","Mark Twain's \"Annus Horribilis\" of 1908-1909"
"journal-article-10.2307_40632739-ngram1.txt","Back Matter"
"journal-article-10.2307_1406417-ngram1.txt","Plato's Happy Philosopher and Politics"
"journal-article-10.1525_jps.2003.32.3.21-ngram1.txt","Liberating Songs: Palestine Put to Music"
